times,road,road status
2020-08-08 14:47,[동백죽전대로] 29km/h,정체
2020-08-08 14:47,[동백죽전대로] 64km/h,소통원활
2020-08-08 14:47,[동백죽전대로] 25km/h,소통원활
2020-08-08 14:47,[동백죽전대로] 44km/h,소통원활
2020-08-08 14:47,[동백죽전대로] 43km/h,소통원활
2020-08-08 14:47,[동백죽전대로] 56km/h,소통원활
2020-08-08 14:47,[동백죽전대로] 45km/h,소통원활
2020-08-08 14:47,[동백죽전대로] 59km/h,소통원활
2020-08-08 14:47,[동백죽전대로] 60km/h,소통원활
2020-08-08 14:47,[동백죽전대로] 19km/h,부분지체
2020-08-08 14:47,[동백죽전대로] 32km/h,소통원활
2020-08-08 14:47,[동백죽전대로] 50km/h,소통원활
2020-08-08 14:47,[동백죽전대로] 59km/h,소통원활
2020-08-08 14:47,[동백죽전대로] 43km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 47km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 49km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 45km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 74km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 30km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 27km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 39km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 8km/h,정체
2020-08-08 14:47,[백옥대로(국도 45호선)] 13km/h,정체
2020-08-08 14:47,[백옥대로(국도 45호선)] 28km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 71km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 80km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 80km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 39km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 48km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 46km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 73km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 29km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 39km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 24km/h,부분지체
2020-08-08 14:47,[백옥대로(국도 45호선)] 12km/h,정체
2020-08-08 14:47,[백옥대로(국도 45호선)] 22km/h,부분지체
2020-08-08 14:47,[백옥대로(국도 45호선)] 42km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 74km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 79km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 78km/h,소통원활
2020-08-08 14:47,[백옥대로(국도 45호선)] 79km/h,소통원활
2020-08-08 14:47,[사은로(지방도 315호선)] 16km/h,부분지체
2020-08-08 14:47,[사은로(지방도 315호선)] 31km/h,소통원활
2020-08-08 14:47,[사은로(지방도 315호선)] 21km/h,부분지체
2020-08-08 14:47,[사은로(지방도 315호선)] 26km/h,소통원활
2020-08-08 14:47,[석성로] 24km/h,부분지체
2020-08-08 14:47,[석성로] 57km/h,소통원활
2020-08-08 14:47,[석성로] 60km/h,소통원활
2020-08-08 14:47,[석성로] 55km/h,소통원활
2020-08-08 14:47,[석성로] 76km/h,소통원활
2020-08-08 14:47,[석성로] 60km/h,소통원활
2020-08-08 14:47,[석성로] 63km/h,소통원활
2020-08-08 14:47,[석성로] 48km/h,소통원활
2020-08-08 14:47,[석성로] 11km/h,정체
2020-08-08 14:47,[석성로] 61km/h,소통원활
2020-08-08 14:47,[석성로] 58km/h,소통원활
2020-08-08 14:47,[석성로] 70km/h,소통원활
2020-08-08 14:47,[석성로] 60km/h,소통원활
2020-08-08 14:47,[석성로] 57km/h,소통원활
2020-08-08 14:47,[석성로] 41km/h,소통원활
2020-08-08 14:47,[신수로] 35km/h,소통원활
2020-08-08 14:47,[신수로] 20km/h,부분지체
2020-08-08 14:47,[신수로] 46km/h,소통원활
2020-08-08 14:47,[신수로] 32km/h,소통원활
2020-08-08 14:47,[신수로] 28km/h,소통원활
2020-08-08 14:47,[신수로] 26km/h,소통원활
2020-08-08 14:47,[신수로] 48km/h,소통원활
2020-08-08 14:47,[신수로] 46km/h,소통원활
2020-08-08 14:47,[신수로] 19km/h,부분지체
2020-08-08 14:47,[신수로] 45km/h,소통원활
2020-08-08 14:47,[신수로] 55km/h,소통원활
2020-08-08 14:47,[신수로] 22km/h,부분지체
2020-08-08 14:47,[신수로] 12km/h,정체
2020-08-08 14:47,[신수로] 38km/h,소통원활
2020-08-08 14:47,[신수로] 46km/h,소통원활
2020-08-08 14:47,[신수로] 50km/h,소통원활
2020-08-08 14:47,[신수로] 33km/h,소통원활
2020-08-08 14:47,[신수로] 21km/h,부분지체
2020-08-08 14:47,[신수로] 41km/h,소통원활
2020-08-08 14:47,[신수로] 25km/h,소통원활
2020-08-08 14:47,[신수로] 45km/h,소통원활
2020-08-08 14:47,[신수로] 38km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 29km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 32km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 50km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 46km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 40km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 8km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 13km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 10km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 52km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 23km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 20km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 4km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 6km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 23km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 23km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 31km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 15km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 23km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 62km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 25km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 22km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 19km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 44km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 21km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 16km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 18km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 20km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 12km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 24km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 39km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 10km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 33km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 11km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 11km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 10km/h,정체
2020-08-08 14:47,[용구대로(지방도 23호선)] 20km/h,부분지체
2020-08-08 14:47,[용구대로(지방도 23호선)] 37km/h,소통원활
2020-08-08 14:47,[용구대로(지방도 23호선)] 69km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 25km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 47km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 33km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 40km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 20km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 12km/h,정체
2020-08-08 14:47,[중부대로(국도 42호선)] 26km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 9km/h,정체
2020-08-08 14:47,[중부대로(국도 42호선)] 51km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 37km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 26km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 50km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 40km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 20km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 65km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 49km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 24km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 22km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 27km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 17km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 26km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 60km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 50km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 51km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 23km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 14km/h,정체
2020-08-08 14:47,[중부대로(국도 42호선)] 31km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 34km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 40km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 22km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 25km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 36km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 22km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 31km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 13km/h,정체
2020-08-08 14:47,[중부대로(국도 42호선)] 20km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 30km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 21km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 35km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 30km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 54km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 15km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 47km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 20km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 28km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 21km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 20km/h,부분지체
2020-08-08 14:47,[중부대로(국도 42호선)] 42km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 47km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 28km/h,소통원활
2020-08-08 14:47,[중부대로(국도 42호선)] 24km/h,부분지체
2020-08-08 14:47,[포은대로(국도 43호선)] 40km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 37km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 57km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 41km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 41km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 30km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 17km/h,부분지체
2020-08-08 14:47,[포은대로(국도 43호선)] 36km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 14km/h,정체
2020-08-08 14:47,[포은대로(국도 43호선)] 18km/h,부분지체
2020-08-08 14:47,[포은대로(국도 43호선)] 42km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 63km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 70km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 66km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 48km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 17km/h,부분지체
2020-08-08 14:47,[포은대로(국도 43호선)] 27km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 26km/h,소통원활
2020-08-08 14:47,[포은대로(국도 43호선)] 18km/h,부분지체
2020-08-08 14:47,[포은대로(국도 43호선)] 16km/h,부분지체
2020-08-08 14:47,[포은대로(국도 43호선)] 9km/h,정체
