times,road,road status
2020-08-08 12:31,[동백죽전대로] 30km/h,정체
2020-08-08 12:31,[동백죽전대로] 63km/h,소통원활
2020-08-08 12:31,[동백죽전대로] 27km/h,소통원활
2020-08-08 12:31,[동백죽전대로] 44km/h,소통원활
2020-08-08 12:31,[동백죽전대로] 30km/h,소통원활
2020-08-08 12:31,[동백죽전대로] 54km/h,소통원활
2020-08-08 12:31,[동백죽전대로] 32km/h,소통원활
2020-08-08 12:31,[동백죽전대로] 57km/h,소통원활
2020-08-08 12:31,[동백죽전대로] 58km/h,소통원활
2020-08-08 12:31,[동백죽전대로] 19km/h,부분지체
2020-08-08 12:31,[동백죽전대로] 34km/h,소통원활
2020-08-08 12:31,[동백죽전대로] 43km/h,소통원활
2020-08-08 12:31,[동백죽전대로] 53km/h,소통원활
2020-08-08 12:31,[동백죽전대로] 45km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 46km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 40km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 48km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 77km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 28km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 25km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 40km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 17km/h,부분지체
2020-08-08 12:31,[백옥대로(국도 45호선)] 19km/h,부분지체
2020-08-08 12:31,[백옥대로(국도 45호선)] 32km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 73km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 78km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 78km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 41km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 43km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 40km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 66km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 23km/h,부분지체
2020-08-08 12:31,[백옥대로(국도 45호선)] 35km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 25km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 24km/h,부분지체
2020-08-08 12:31,[백옥대로(국도 45호선)] 11km/h,정체
2020-08-08 12:31,[백옥대로(국도 45호선)] 34km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 73km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 79km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 80km/h,소통원활
2020-08-08 12:31,[백옥대로(국도 45호선)] 80km/h,소통원활
2020-08-08 12:31,[사은로(지방도 315호선)] 19km/h,부분지체
2020-08-08 12:31,[사은로(지방도 315호선)] 35km/h,소통원활
2020-08-08 12:31,[사은로(지방도 315호선)] 23km/h,부분지체
2020-08-08 12:31,[사은로(지방도 315호선)] 30km/h,소통원활
2020-08-08 12:31,[석성로] 26km/h,소통원활
2020-08-08 12:31,[석성로] 51km/h,소통원활
2020-08-08 12:31,[석성로] 52km/h,소통원활
2020-08-08 12:31,[석성로] 53km/h,소통원활
2020-08-08 12:31,[석성로] 75km/h,소통원활
2020-08-08 12:31,[석성로] 58km/h,소통원활
2020-08-08 12:31,[석성로] 63km/h,소통원활
2020-08-08 12:31,[석성로] 44km/h,소통원활
2020-08-08 12:31,[석성로] 23km/h,부분지체
2020-08-08 12:31,[석성로] 59km/h,소통원활
2020-08-08 12:31,[석성로] 57km/h,소통원활
