times,road,road status
2020-08-08 15:10,[동백죽전대로] 21km/h,정체
2020-08-08 15:10,[동백죽전대로] 64km/h,소통원활
2020-08-08 15:10,[동백죽전대로] 21km/h,부분지체
2020-08-08 15:10,[동백죽전대로] 41km/h,소통원활
2020-08-08 15:10,[동백죽전대로] 31km/h,소통원활
2020-08-08 15:10,[동백죽전대로] 57km/h,소통원활
2020-08-08 15:10,[동백죽전대로] 43km/h,소통원활
2020-08-08 15:10,[동백죽전대로] 58km/h,소통원활
2020-08-08 15:10,[동백죽전대로] 59km/h,소통원활
2020-08-08 15:10,[동백죽전대로] 30km/h,소통원활
2020-08-08 15:10,[동백죽전대로] 35km/h,소통원활
2020-08-08 15:10,[동백죽전대로] 48km/h,소통원활
2020-08-08 15:10,[동백죽전대로] 58km/h,소통원활
2020-08-08 15:10,[동백죽전대로] 45km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 48km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 37km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 43km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 76km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 26km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 23km/h,부분지체
2020-08-08 15:10,[백옥대로(국도 45호선)] 41km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 11km/h,정체
2020-08-08 15:10,[백옥대로(국도 45호선)] 18km/h,부분지체
2020-08-08 15:10,[백옥대로(국도 45호선)] 28km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 66km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 80km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 80km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 40km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 39km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 40km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 66km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 30km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 33km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 25km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 11km/h,정체
2020-08-08 15:10,[백옥대로(국도 45호선)] 17km/h,부분지체
2020-08-08 15:10,[백옥대로(국도 45호선)] 39km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 75km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 80km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 80km/h,소통원활
2020-08-08 15:10,[백옥대로(국도 45호선)] 80km/h,소통원활
2020-08-08 15:10,[사은로(지방도 315호선)] 21km/h,부분지체
2020-08-08 15:10,[사은로(지방도 315호선)] 35km/h,소통원활
2020-08-08 15:10,[사은로(지방도 315호선)] 22km/h,부분지체
2020-08-08 15:10,[사은로(지방도 315호선)] 31km/h,소통원활
2020-08-08 15:10,[석성로] 23km/h,부분지체
2020-08-08 15:10,[석성로] 56km/h,소통원활
2020-08-08 15:10,[석성로] 54km/h,소통원활
2020-08-08 15:10,[석성로] 55km/h,소통원활
2020-08-08 15:10,[석성로] 83km/h,소통원활
2020-08-08 15:10,[석성로] 58km/h,소통원활
2020-08-08 15:10,[석성로] 62km/h,소통원활
2020-08-08 15:10,[석성로] 43km/h,소통원활
2020-08-08 15:10,[석성로] 16km/h,부분지체
2020-08-08 15:10,[석성로] 59km/h,소통원활
2020-08-08 15:10,[석성로] 57km/h,소통원활
2020-08-08 15:10,[석성로] 80km/h,소통원활
2020-08-08 15:10,[석성로] 59km/h,소통원활
2020-08-08 15:10,[석성로] 51km/h,소통원활
2020-08-08 15:10,[석성로] 41km/h,소통원활
2020-08-08 15:10,[신수로] 51km/h,소통원활
2020-08-08 15:10,[신수로] 19km/h,부분지체
2020-08-08 15:10,[신수로] 47km/h,소통원활
2020-08-08 15:10,[신수로] 36km/h,소통원활
2020-08-08 15:10,[신수로] 31km/h,소통원활
2020-08-08 15:10,[신수로] 31km/h,소통원활
2020-08-08 15:10,[신수로] 47km/h,소통원활
2020-08-08 15:10,[신수로] 48km/h,소통원활
2020-08-08 15:10,[신수로] 26km/h,소통원활
2020-08-08 15:10,[신수로] 57km/h,소통원활
2020-08-08 15:10,[신수로] 55km/h,소통원활
2020-08-08 15:10,[신수로] 20km/h,부분지체
2020-08-08 15:10,[신수로] 13km/h,정체
2020-08-08 15:10,[신수로] 40km/h,소통원활
2020-08-08 15:10,[신수로] 27km/h,소통원활
2020-08-08 15:10,[신수로] 46km/h,소통원활
2020-08-08 15:10,[신수로] 40km/h,소통원활
2020-08-08 15:10,[신수로] 16km/h,부분지체
2020-08-08 15:10,[신수로] 36km/h,소통원활
2020-08-08 15:10,[신수로] 39km/h,소통원활
2020-08-08 15:10,[신수로] 48km/h,소통원활
2020-08-08 15:10,[신수로] 36km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 17km/h,부분지체
2020-08-08 15:10,[용구대로(지방도 23호선)] 31km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 56km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 43km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 41km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 13km/h,정체
2020-08-08 15:10,[용구대로(지방도 23호선)] 16km/h,부분지체
2020-08-08 15:10,[용구대로(지방도 23호선)] 18km/h,부분지체
2020-08-08 15:10,[용구대로(지방도 23호선)] 40km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 17km/h,부분지체
2020-08-08 15:10,[용구대로(지방도 23호선)] 21km/h,부분지체
2020-08-08 15:10,[용구대로(지방도 23호선)] 14km/h,정체
2020-08-08 15:10,[용구대로(지방도 23호선)] 13km/h,정체
2020-08-08 15:10,[용구대로(지방도 23호선)] 22km/h,부분지체
2020-08-08 15:10,[용구대로(지방도 23호선)] 22km/h,부분지체
2020-08-08 15:10,[용구대로(지방도 23호선)] 29km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 14km/h,정체
2020-08-08 15:10,[용구대로(지방도 23호선)] 37km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 39km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 34km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 24km/h,부분지체
2020-08-08 15:10,[용구대로(지방도 23호선)] 11km/h,정체
2020-08-08 15:10,[용구대로(지방도 23호선)] 47km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 21km/h,부분지체
2020-08-08 15:10,[용구대로(지방도 23호선)] 9km/h,정체
2020-08-08 15:10,[용구대로(지방도 23호선)] 22km/h,부분지체
2020-08-08 15:10,[용구대로(지방도 23호선)] 26km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 21km/h,부분지체
2020-08-08 15:10,[용구대로(지방도 23호선)] 18km/h,부분지체
2020-08-08 15:10,[용구대로(지방도 23호선)] 29km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 12km/h,정체
2020-08-08 15:10,[용구대로(지방도 23호선)] 32km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 6km/h,정체
2020-08-08 15:10,[용구대로(지방도 23호선)] 6km/h,정체
2020-08-08 15:10,[용구대로(지방도 23호선)] 11km/h,정체
2020-08-08 15:10,[용구대로(지방도 23호선)] 23km/h,부분지체
2020-08-08 15:10,[용구대로(지방도 23호선)] 36km/h,소통원활
2020-08-08 15:10,[용구대로(지방도 23호선)] 68km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 24km/h,부분지체
2020-08-08 15:10,[중부대로(국도 42호선)] 28km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 31km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 54km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 30km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 11km/h,정체
2020-08-08 15:10,[중부대로(국도 42호선)] 32km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 13km/h,정체
2020-08-08 15:10,[중부대로(국도 42호선)] 45km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 43km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 32km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 48km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 47km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 30km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 66km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 47km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 16km/h,부분지체
2020-08-08 15:10,[중부대로(국도 42호선)] 24km/h,부분지체
2020-08-08 15:10,[중부대로(국도 42호선)] 35km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 17km/h,부분지체
2020-08-08 15:10,[중부대로(국도 42호선)] 22km/h,부분지체
2020-08-08 15:10,[중부대로(국도 42호선)] 54km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 36km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 50km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 22km/h,부분지체
2020-08-08 15:10,[중부대로(국도 42호선)] 11km/h,정체
2020-08-08 15:10,[중부대로(국도 42호선)] 33km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 43km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 38km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 27km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 26km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 28km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 19km/h,부분지체
2020-08-08 15:10,[중부대로(국도 42호선)] 30km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 12km/h,정체
2020-08-08 15:10,[중부대로(국도 42호선)] 20km/h,부분지체
2020-08-08 15:10,[중부대로(국도 42호선)] 36km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 31km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 37km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 26km/h,소통원활
2020-08-08 15:10,[중부대로(국도 42호선)] 54km/h,소통원활
